Name,Rating,Rounds,KD Diff,K/D
ScrunK,0.88,28144,-2992,0.85
daps,0.88,28101,-2364,0.87
flowsicK,0.87,10074,-1047,0.86
BERRY,0.87,21174,-2410,0.84
birdfromsky,0.87,24920,-2455,0.86
nawrot,0.87,16271,-1769,0.85
advent,0.87,29451,-2351,0.87
def,0.86,15797,-1593,0.85
HooXi,0.86,22691,-2454,0.84
djL,0.86,18180,-1735,0.86
Devilwalk,0.86,10717,-1146,0.84
gob b,0.85,25799,-2828,0.84
Slemmy,0.85,11663,-1313,0.83
simix,0.83,10457,-1347,0.81
PASHANOJ,0.83,16227,-2371,0.80
B1ad3,0.83,23232,-3408,0.80
netrick,0.82,11976,-1736,0.80
HUNDEN,0.81,41153,-6238,0.78
RuFire,0.78,10563,-1980,0.75
OCEAN,0.77,10602,-1962,0.74
